year,treatment,transect,location,recorders,bareground,litter,rock,moss_lichen_fungi,total_ground_cover,Abies_lasiocarpa,Acer_glabrum,Achillea_millefolium,Agoseris_glauca ,Agropyron_smithii,Allium_geyeri,Amelanchier_alnifolia,Antennaria_luzuloides,Apocynum_androsace,Arctium_minus,Arnica_sp,Artemisia_absinthium,Artemisia_cana,Astragalus_sp,Balsmorhiza_sagitatta,Bromus_carinatus,Bromus_inermis,Calamagrostis_rubescens,Carex_geyeri,Carex_sp,Castilleja_rhexifolia,Cerastium_arvense,Chamerion_angustifolium,Cirsium_arvense,Collomia_linearis,Corallorhiza_striata,Dactylis_glomerata,Delphinium_occidentale,Elymus_glaucus,Erigeron_sp,Erythronium_grandiflorum,Eurybia_conspicua,Festuca_idahoensis,Frageria_virginiana,Gallium_boreal,Geranium_viscosissimum,Gooyera_oblongifolia,Hieracium_scouleri,Lupinus_argenteus,Madia_glomerata,Mahonia_repens,Maianthemum_stellata,Melica_bulbosa,Monarda_fistulosa,Osmorhiza_sp,Perideridia_montana,Phleum_pratense,Polygonum_sp,Potentilla_gracilis,Prunus_sp,Pseudotsuga_menziesii,Rosa_woodsii,Sedum_sp,Spirea_betulifolia,Symphoriocarpos_albus,Symphyotrichum_foliaceum,Taraxacum_officinale,Thalitricum_sp,Tragopogon_dubius,Trifolium_hybridum,Trifolium_pratense,Trifolium_repens
2020,construction,1,0m,mystery,53,0,2,0,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,8,8,0,0,0,3,0
2020,construction,1,5m,mystery,60,0,5,10,100,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0
2020,construction,1,10m,mystery,75,0,0,0,100,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,0,0,2,0,0
2020,construction,1,15m,mystery,70,10,0,0,121,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0
2020,construction,1,20m,DHKO,10,35,0,0,121,0,0,0,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
2020,construction,2,0m,AH,75,1,10,0,107,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,6
2020,construction,2,5m,AH,50,5,8,0,107,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,1,0,1,0
2020,construction,2,10m,AH,65,2,8,0,101,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2020,construction,2,15m,AH,65,1,5,0,101,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020,construction,2,20m,mystery,75,0,5,0,107,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0
